longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,median_house_value (Predicted),ocean_proximity
-120.86,37.53,18,2829,732,1751,712,1.6445,77714,156900,INLAND
-118.44,34.03,41,1164,265,561,251,4.2411,332662.01,350900,<1H OCEAN
-118.45,34.29,30,762,228,840,226,2.3375,180317,154200,<1H OCEAN
-117.73,35.73,35,2916,594,1870,432,3.625,83818.97,55000,INLAND
-117.3,33.05,34,1797,458,775,391,3.2308,323527.17,331300,NEAR OCEAN
-117.15,32.77,16,2056,631,847,569,2.9576,204772.04,92200,NEAR OCEAN
-119.38,36.54,33,2465,536,2030,522,1.5223,60495,51800,INLAND
-117.44,34.08,15,5024,992,3208,981,3.6025,118363,116400,INLAND
-117.24,32.95,18,1591,268,547,243,5.9547,308540.09,329300,NEAR OCEAN
-120.42,34.96,31,3518,608,1386,572,3.6212,211733,151400,<1H OCEAN
-117.94,33.8,23,2757,734,1811,707,2.8,172324,214300,<1H OCEAN
-121.31,37.96,52,1829,301,694,319,3.3466,125186,92600,INLAND
-122.04,36.96,42,538,107,200,104,2.1667,172813.01,196400,NEAR OCEAN
-118.05,34.08,30,1572,427,1857,428,2.4914,172232,159200,<1H OCEAN
-120.71,38.73,17,2146,396,862,351,2.9219,118337,141300,INLAND
-118.36,33.98,46,1425,283,782,273,5.057,271390,246300,<1H OCEAN
-122.49,37.89,23,1650,403,541,336,6.0238,335586.02,500001,NEAR BAY
-121.32,37.96,5,123,21,50,20,2.7656,128782,50000,INLAND
-117.88,34.06,23,6689,1124,3081,1047,5.9254,273258.03,491200,<1H OCEAN
-118.29,34.06,23,2040,778,2235,697,1.9309,185899.01,233300,<1H OCEAN
-118.35,33.93,34,617,189,810,180,1.9766,154722.02,162500,<1H OCEAN
-122.07,37.13,26,1127,199,543,199,4.9792,302037.11,240000,NEAR OCEAN
-121.04,37.78,32,2916,528,1466,473,2.5643,124864,200000,INLAND
-117.11,32.77,48,1502,272,590,265,2.5952,143017.01,190300,NEAR OCEAN
-118.34,33.99,48,2009,335,919,297,4.8125,255811,170500,<1H OCEAN
-116.48,33.96,11,1381,300,644,248,2.3382,95666,89400,INLAND
-117.07,32.77,34,2245,394,1849,429,3.5446,151417,185500,NEAR OCEAN
-118.35,34.05,44,1856,493,1374,469,2.0984,180997.01,158000,<1H OCEAN
-118.23,34.18,45,2332,,943,339,8.1132,493397.9,446600,<1H OCEAN
-121.44,38.61,41,1404,313,765,330,1.8792,74321,63300,INLAND
-121.85,37.28,17,4208,954,1476,904,2.3971,224443.01,87500,<1H OCEAN
-118.32,34.03,47,1082,198,455,193,3.0132,208535.03,223200,<1H OCEAN
-117.28,32.74,33,4168,1112,1785,984,2.7515,192139,247700,NEAR OCEAN
-121.3,38.68,19,2655,438,1253,454,5.2817,189779,140600,INLAND
-117.87,33.82,26,2435,346,1088,350,5.9397,255107,249400,<1H OCEAN
-117.06,32.56,17,2803,683,2768,676,1.7958,107329,140400,NEAR OCEAN
-121.99,38.34,16,1470,261,748,256,4.0433,144550,132200,INLAND
-122.44,37.76,50,2589,569,945,544,5.2519,377777.16,376600,NEAR BAY
-121,39,4,170,23,93,27,10.9891,325714.2,312500,INLAND
-122.37,40.39,12,3783,702,1970,639,3.3005,122240,98500,INLAND
-118.24,33.93,32,779,201,861,219,1.0625,99334,89800,<1H OCEAN
-118.18,34.02,33,832,226,987,220,3.0972,152094,125000,<1H OCEAN
-122.45,37.67,36,1664,326,963,322,4.7813,276109,246400,NEAR OCEAN
-121.42,38.63,42,1385,273,740,274,2.6055,94705,78000,INLAND
-122.4,38.34,33,1408,273,520,212,3.5781,223048.01,242500,<1H OCEAN
-118.29,34.08,34,479,182,557,170,1.525,189869,210000,<1H OCEAN
-120.27,36.29,11,1337,412,1376,318,2.4398,83719,87500,INLAND
-122.42,37.66,36,725,121,335,140,4.125,261990.03,327600,NEAR OCEAN
-119.06,34.23,23,3471,510,2002,555,5.2742,240853.01,257500,<1H OCEAN
-118.44,34.17,25,4966,1134,1941,958,3.8081,285703.11,286700,<1H OCEAN
-118.15,33.77,27,3043,787,1398,747,3.5528,274319.03,271100,NEAR OCEAN
-121.57,39.13,30,442,103,413,88,1.5694,74993,57900,INLAND
-117.6,33.45,4,2369,566,996,435,5.4031,304670.05,243800,NEAR OCEAN
-121.36,38.61,37,2191,394,951,362,3.8882,136068,159500,INLAND
-118.51,34.2,34,2871,581,1350,535,3.7049,207221,227500,<1H OCEAN
-118.31,34.09,37,773,,835,312,1.8576,198709.02,193800,<1H OCEAN
-117.9,34.15,21,2056,461,1332,429,3.3942,156866,212800,INLAND
-118.27,33.94,30,1764,397,1406,362,1.449,104111,93100,<1H OCEAN
-120.76,38.73,17,512,129,314,140,1.5625,113831,108300,INLAND
-117.47,33.91,21,3491,760,1920,669,2.2241,98632,127300,INLAND
-121.79,37.3,10,5469,950,3083,906,5.9399,275807.02,241900,<1H OCEAN
-118.13,33.88,32,1788,459,1131,461,3.5278,194764,166100,<1H OCEAN
-118.08,33.96,35,2104,399,1659,387,4.0096,174907,165000,<1H OCEAN
-118.4,34.18,32,3724,899,1912,791,3.5711,229372,312700,<1H OCEAN
-117.11,32.97,9,1531,242,850,240,6.0862,234256,263600,<1H OCEAN
-122.37,40.55,26,1435,234,544,232,2.6705,87792,136700,INLAND
-117.06,32.7,12,3943,737,3280,751,4.112,151197,141400,NEAR OCEAN
-117.79,34.07,34,975,192,870,183,3.7933,149755.99,116100,INLAND
-120.81,39.02,30,806,189,326,146,2.8155,122593,101000,INLAND
-122.27,37.79,27,1055,347,718,302,2.6354,168678,187500,NEAR BAY
-117.87,34.15,37,2655,415,1056,401,5.4224,276485.01,269500,INLAND
-121.24,38.67,28,3558,589,1742,581,4.0182,136792,131700,INLAND
-117.35,33.68,10,516,107,282,96,4.2788,193482,125000,<1H OCEAN
-121.93,36.99,19,6356,1100,2954,1070,4.7325,289790,283500,NEAR OCEAN
-122.78,39.05,15,1601,323,661,269,2.6181,126744,108900,INLAND
-118.75,34.27,20,3495,449,1629,428,5.8096,260374,264400,<1H OCEAN
-122.44,37.77,52,2994,736,1428,700,3.0766,390935.22,438900,NEAR BAY
-118.49,34.02,28,1394,582,716,543,1.5132,298718.23,450000,<1H OCEAN
-118.01,33.83,29,3963,772,2104,743,4.9803,245170,208600,<1H OCEAN
-117.96,34,33,5462,952,3527,914,4.4038,221219.04,186700,<1H OCEAN
-121.26,38.73,14,3323,499,1527,540,5.3451,203864,172100,INLAND
-118.14,33.77,49,2792,690,1301,648,3.2917,306561.03,307400,NEAR OCEAN
-117.88,33.84,33,1526,237,906,245,5.1782,211574,225000,<1H OCEAN
-117.31,34.08,37,953,231,611,230,1.9926,72653,81500,INLAND
-121.6,39.68,15,1677,345,844,330,2.3958,80249,111200,INLAND
-121.15,38.21,18,4176,700,2164,699,4.0365,152946,174200,INLAND
-121.83,37.37,43,821,149,370,135,4.25,231774.02,209100,<1H OCEAN
-117.11,32.59,18,2329,580,1538,567,2.1179,125412,153100,NEAR OCEAN
-122.25,38.16,17,4459,944,1812,888,2.9375,148124,106700,NEAR BAY
-119.17,34.17,42,1411,300,1295,339,2.6667,214096.01,164900,NEAR OCEAN
-117.06,32.57,17,2252,378,1776,365,4.6364,177016,141100,NEAR OCEAN
-120.62,38.39,15,3750,691,1444,603,2.7399,122980,134800,INLAND
-118.92,34.17,17,1552,246,685,244,5.9836,301278.05,294800,<1H OCEAN
-122.43,37.74,52,1514,314,724,301,5.3292,352288.06,300900,NEAR BAY
-122.02,37.6,36,1633,345,1382,338,3.694,188377.01,159600,NEAR BAY
-118,33.76,29,1982,503,1426,502,3.0263,186982,194200,<1H OCEAN
-121.9,37.4,16,2998,603,1606,615,3.7622,222431.01,150000,<1H OCEAN
-117.33,34.08,35,2240,423,1394,396,3.1799,107270,86700,INLAND
-117.99,33.78,15,4273,993,2300,946,3.5313,193087,213000,<1H OCEAN
-122.46,37.73,52,2401,346,812,328,6.8322,433531.31,394100,NEAR BAY
-117.87,33.84,16,1545,354,730,350,4.5112,213916,139000,<1H OCEAN
-118.36,34.15,41,3545,698,1221,651,4.3,381388.09,500001,<1H OCEAN
-118.23,33.89,16,5003,1180,4145,1159,2.1389,149541,133400,<1H OCEAN
-122.33,37.94,44,1769,332,828,309,4.0526,167784,150800,NEAR BAY
-122.45,37.79,52,3069,579,1107,536,5.5634,403222.29,500001,NEAR BAY
-118.23,34.21,50,309,47,121,45,6.213,331412.06,285000,<1H OCEAN
-117.28,33.18,14,676,118,384,126,6.2096,313857.12,178100,NEAR OCEAN
-118.2,34.14,52,2090,466,1219,390,4.0909,226479,204200,<1H OCEAN
-122.17,37.76,41,1594,367,1074,355,1.9356,96660,90600,NEAR BAY
-117.05,32.61,26,1563,286,1145,313,3.8615,143231,139300,NEAR OCEAN
-117.89,33.72,25,4343,847,3872,850,4.65,234497,197800,<1H OCEAN
-117.32,34.14,32,1691,353,1457,329,1.8438,70327,66600,INLAND
-118.21,33.98,39,1315,306,1257,298,3.2788,159998,169000,<1H OCEAN
-118.85,34.25,17,5593,732,1992,660,7.2965,357430.07,342900,<1H OCEAN
-119.04,36.07,26,2185,435,1108,419,2.2277,61385,78000,INLAND
-118.47,34,38,1235,390,891,376,2.7143,280360,287500,<1H OCEAN
-118.17,33.77,45,2143,697,1004,594,3.0153,232608.01,220000,NEAR OCEAN
-119.85,36.77,27,1510,344,847,295,2.9315,83094,83200,INLAND
-117.03,34.07,16,3784,577,1615,525,4.2333,144019,220300,INLAND
-117.8,33.52,50,1152,341,519,225,3.053,212633.03,500001,<1H OCEAN
-118.16,33.91,28,2922,739,3013,673,2.9531,164235,127100,<1H OCEAN
-121.24,38.66,14,3335,440,1329,429,6.2082,224457,250300,INLAND
-117.94,33.87,46,2066,450,1275,448,3.9375,205273,187000,<1H OCEAN
-118.19,34.05,29,855,199,785,169,2.6964,142983,122200,<1H OCEAN
-120.57,38.35,17,1504,358,661,250,2.2604,113141,84800,INLAND
-120.37,38.25,13,4495,856,1149,459,2.5352,131635,113700,INLAND
-118.48,34.23,35,1963,310,919,297,4.7583,218197,258600,<1H OCEAN
-118.23,33.99,37,378,176,714,156,2.1912,134031,112500,<1H OCEAN
-118.37,34.16,40,1973,382,774,352,4.4122,316647,282300,<1H OCEAN
-117.84,34.1,17,7836,1624,4419,1526,3.8465,190782,180700,<1H OCEAN
-122,37.32,34,3450,731,1915,689,4.7402,276341.02,244500,<1H OCEAN
-121.79,36.68,22,6912,1513,3794,1455,3.0608,191386,168300,<1H OCEAN
-118.55,34.26,21,4018,536,1508,529,8.203,412857.18,445400,<1H OCEAN
-122,37.86,18,8953,1074,3011,993,10.7372,465618.58,500001,<1H OCEAN
-115.46,33.19,33,1234,373,777,298,1,63439,40000,INLAND
-118.21,34.08,26,2574,807,3163,802,1.9495,180680,173200,<1H OCEAN
-122.86,40.56,12,1350,300,423,172,1.7393,86575,81300,INLAND
-121.94,38.41,15,1263,211,665,208,4.5,155903,260900,INLAND
-119.7,34.42,43,1802,557,1490,538,2.675,197030,247900,<1H OCEAN
-118.04,33.81,22,4057,624,2204,643,5.8527,277501,241000,<1H OCEAN
-118.46,34,52,888,206,376,194,3.875,349818.01,372000,<1H OCEAN
-117.87,33.89,19,1674,243,786,234,6.4218,293266,275000,<1H OCEAN
-117.25,34.13,35,861,148,381,138,2.5234,98781,88200,INLAND
-118.23,34.21,36,2988,719,1357,657,3.5174,245342.01,268000,<1H OCEAN
-118.29,34.08,38,380,130,445,140,1.9286,202281.01,137500,<1H OCEAN
-122.08,37.97,9,2643,439,1105,467,6.6579,307997,245200,NEAR BAY
-122.1,37.9,38,827,144,368,136,6.5095,343850.15,294400,NEAR BAY
-118.27,34.11,41,4138,1130,1859,1030,2.978,228247,306800,<1H OCEAN
-121.8,37.32,20,2473,476,2228,501,5.6817,252476,224200,<1H OCEAN
-118.29,34.04,44,1941,579,2049,535,2.0405,164014,143000,<1H OCEAN
-122.55,38.07,38,3392,709,1894,713,3.0573,165810,350800,NEAR BAY
-117.89,34.12,35,1566,321,1396,317,4.05,166670,141300,<1H OCEAN
-117.24,33.2,26,1701,404,989,367,2.5119,176059.03,171700,<1H OCEAN
-121.61,37.03,5,6529,1010,3071,977,5.6754,273993.04,298500,<1H OCEAN
-122.29,38.28,38,2308,425,1272,406,3.6083,158797,134200,NEAR BAY
-122.31,38.3,45,3023,659,1789,657,3.6039,167050,126000,NEAR BAY
-121.22,37.8,28,2608,576,1719,554,2.1186,96201,94400,INLAND
-118.1,34.71,16,3914,819,1524,795,2.415,108031,137500,INLAND
-118,33.83,26,1718,385,1022,368,3.9333,210718,196100,<1H OCEAN
-122.48,37.73,47,2382,392,867,376,5.2598,355268.03,371500,NEAR OCEAN
-121.19,38.85,8,4114,710,2268,716,4.4085,194730,139400,INLAND
-116.37,33.69,7,8806,1542,858,448,7.8005,341999.03,318100,INLAND
-122.71,38.37,16,2355,345,1014,348,5.6018,281339.01,253000,<1H OCEAN
-118.52,34.28,33,1975,271,801,287,7.8193,459266.46,379600,<1H OCEAN
-122.23,40.32,10,2336,426,1003,368,3.0833,114258,81300,INLAND
-118.47,34.01,41,752,201,482,207,2.5417,276084.03,418200,<1H OCEAN
-118.99,37.65,20,2474,625,338,141,5.01,177035,195500,INLAND
-117.31,33.25,14,3483,764,2140,687,3.125,179456,102300,<1H OCEAN
-122.24,38.12,39,2967,500,1243,523,4.2902,200777,152400,NEAR BAY
-122.05,37.95,34,1408,277,738,269,4.175,191071,169400,NEAR BAY
-121.06,38.98,14,2267,355,1140,369,4.7019,170524,212800,INLAND
-118.42,34.27,33,937,216,1216,212,3.3214,164869,131300,<1H OCEAN
-121.42,38.64,44,1728,367,1042,349,1.6033,66228,58500,INLAND
-120.46,37.65,17,315,89,130,58,1.4464,103191,79200,INLAND
-122.73,41.76,19,2200,414,950,367,2.5357,79641,94200,INLAND
-120.43,34.69,33,2054,373,1067,358,3.6023,260577,128300,NEAR OCEAN
-117.89,33.77,35,1799,343,1239,368,3.9219,195800,189600,<1H OCEAN
-119.89,36.73,43,524,93,302,93,2.6146,79818,81300,INLAND
-118.21,34.22,37,2260,322,941,303,8.3695,485741.89,500001,<1H OCEAN
-119.59,36.11,32,752,159,524,155,2.25,79978,50000,INLAND
-117.74,34.04,27,2215,440,1987,449,3.0429,130789,129600,INLAND
-115.55,32.98,33,2266,365,952,360,5.4349,187121,143000,INLAND
-119.64,36.36,13,2360,340,1055,312,5.2134,131478,97400,INLAND
-118.27,33.83,34,1124,245,717,242,3.1667,146776,186900,<1H OCEAN
-118.32,34.1,36,1655,690,1957,633,1.7325,241714.01,221900,<1H OCEAN
-117.74,33.62,16,1889,590,686,537,3.4706,248765.09,241700,<1H OCEAN
-119.59,36.64,27,823,171,798,200,3.0521,96407,113800,INLAND
-116.45,32.65,22,2680,643,1644,516,2.1949,83587,127100,INLAND
-117.87,33.75,12,2782,1077,1968,795,0.971,190215,102500,<1H OCEAN
-118.33,34.03,33,2314,624,1714,582,1.7377,162524,183900,<1H OCEAN
-118.43,34.15,42,1293,214,459,217,7.672,456888.53,467600,<1H OCEAN
-118.61,34.23,26,3727,572,1724,530,6.1419,293060,327300,<1H OCEAN
-121.3,38.66,32,2915,492,1292,454,3.3188,123714,117100,INLAND
-118.36,33.95,42,1139,302,1283,306,4.1635,214579,163900,<1H OCEAN
-122.38,40.58,34,1262,267,520,259,1.6983,65730,72600,INLAND
-118.27,34.05,26,1164,674,1685,541,1.5727,189708,225000,<1H OCEAN
-117.22,34.12,34,2457,499,1538,507,2.809,100937,82500,INLAND
-116.99,33.01,11,1412,185,529,166,7.7517,326133.07,500001,<1H OCEAN
-118.08,33.78,34,2287,347,1051,346,5.5767,248221,372000,<1H OCEAN
-117.95,34.11,29,1986,448,2013,432,3.1034,152711,140800,INLAND
-122.18,37.74,35,504,126,323,109,1.8438,102509,90500,NEAR BAY
-121.23,40.29,21,3229,667,1501,582,2.1524,85385,77100,INLAND
-118.09,33.92,36,1226,211,711,219,4.5699,199618.01,170800,<1H OCEAN
-122.44,37.78,52,3510,791,1703,657,2.8654,366793.11,280000,NEAR BAY
-118.29,33.94,32,2701,708,1880,590,1.6716,145040,123800,<1H OCEAN
-119.11,36.29,18,1666,294,859,301,2.6065,88075,93800,INLAND
-117.02,34.9,37,1199,351,782,296,1.6515,56759,61600,INLAND
-118.24,34.16,52,2187,284,733,274,9.5823,497935.99,406200,<1H OCEAN
-121.45,38.52,37,1477,321,888,312,2.5592,87739,70300,INLAND
-123.8,39.46,35,1718,345,698,299,2.9243,129328,131600,<1H OCEAN
-121.94,37.3,26,4348,814,2347,810,4.7275,259002,293000,<1H OCEAN
-118.23,33.89,35,1255,344,1782,343,2.1949,123320,95100,<1H OCEAN
-118.39,34.05,47,1621,314,724,311,5.7509,368346.06,474100,<1H OCEAN
-121.99,38.48,17,1824,348,934,305,4.6719,194950,250000,INLAND
-122.25,37.77,52,1038,220,482,215,3.1771,219371.04,210200,NEAR BAY
-121.04,37.69,5,9601,1639,4449,1575,4.5332,166147,195500,INLAND
-121.2,37.8,28,3264,576,1512,567,3.7546,156878,135300,INLAND
-118.2,33.81,43,3013,574,1525,529,4.95,308576.15,194000,NEAR OCEAN
-121.34,38.67,35,643,117,331,134,3.0417,127329,120700,INLAND
-121.78,39.71,8,140,28,84,29,2.125,104210,179200,INLAND
-118.54,34.24,24,4631,1164,2360,1083,3.0977,221504,264000,<1H OCEAN
-118.17,33.83,45,1808,315,800,302,4.8693,288552.02,277700,NEAR OCEAN
-122.12,37.68,45,2179,401,1159,399,3.4839,177673,180600,NEAR BAY
-121.94,36.99,11,4571,924,2004,847,4.2898,274633,221700,NEAR OCEAN
-121.92,38.02,8,2750,479,1526,484,5.102,194484,156500,INLAND
-119.29,36.34,28,1440,431,2178,440,1.2634,51703,50600,INLAND
-118.22,33.91,28,1847,500,2263,473,1.5161,112820,103200,<1H OCEAN
-117.25,34.11,32,2910,641,2011,614,2.7473,96708,70800,INLAND
-120.1,39.2,20,1703,294,409,174,3.087,122941,196900,INLAND
-122.25,37.74,25,1914,365,897,390,4.4562,222797,206200,NEAR BAY
-118.3,34.17,37,350,115,342,111,3.0687,177627.01,200000,<1H OCEAN
-118.86,34.16,16,1509,216,578,235,10.2614,482956.87,410800,<1H OCEAN
-118.26,33.94,41,1510,410,1408,389,1.65,99171,94200,<1H OCEAN
-118.01,34.1,35,2120,412,1375,405,3.4609,176431,166300,INLAND
-118.12,33.86,34,2116,427,972,396,4.8516,247908,213600,<1H OCEAN
-122.08,37.9,29,4133,770,1691,744,5.1097,273174.03,288000,NEAR BAY
-121.34,37.99,11,4487,868,2195,780,3.9615,147241,194600,INLAND
-119.69,34.43,44,2440,485,1011,442,4.149,250641.01,443600,<1H OCEAN
-118.09,34.01,31,1108,238,1151,229,4.3333,180562,149500,<1H OCEAN
-118.31,34.02,52,1173,284,814,295,2.45,197832.06,111400,<1H OCEAN
-118.28,33.88,19,2758,675,2047,591,2.6618,174463,179700,<1H OCEAN
-118.28,33.8,38,1471,329,1207,335,4,187675.01,165500,<1H OCEAN
-121.78,38.67,38,2948,478,1123,460,4.0556,141489,146900,INLAND
-122.38,37.91,18,3507,711,1224,676,5.0524,297344.03,269800,NEAR BAY
-118.18,34.13,44,2734,415,1057,424,7.9213,497397.91,477800,<1H OCEAN
-117.16,32.72,24,1232,663,1184,626,1.0391,167442,162500,NEAR OCEAN
-122.45,37.77,52,3188,708,1526,664,3.3068,415742.28,500001,NEAR BAY
-121.37,38.66,9,3184,779,1929,769,2.3844,120831,86000,INLAND
-122.15,37.76,39,1823,286,763,270,6.0749,342167.01,196900,NEAR BAY
-122.09,37.67,48,1252,305,673,308,2.3357,178507,175000,NEAR BAY
-118.17,33.85,39,2247,526,1670,525,3.07,170416,173000,<1H OCEAN
-118.19,33.84,44,2731,577,1396,555,4.1771,308040.07,219100,NEAR OCEAN
-118.29,34.07,19,3013,1118,2465,1008,2.5386,225567.02,290600,<1H OCEAN
-122.03,37.61,36,1409,271,1002,281,3.7262,193147.01,164900,NEAR BAY
-118.37,34.08,52,1466,254,600,253,5.7524,346783.02,393600,<1H OCEAN
-118.24,33.92,42,328,100,605,87,2.4464,115128,97400,<1H OCEAN
-120.93,37.56,17,1812,361,672,334,1.55,88092,166100,INLAND
-117.87,33.86,19,2232,448,1149,417,3.1534,198538,324400,<1H OCEAN
-117.06,33.03,23,2023,309,678,340,7.0913,313993.12,265400,<1H OCEAN
-118.56,34.06,24,2332,349,761,325,7.3031,346119.09,500001,<1H OCEAN
-119.86,36.43,34,1175,251,683,261,1.7176,57838,58400,INLAND
-122.25,37.39,33,370,42,153,53,10.6514,489980.9,500001,NEAR OCEAN
-122.26,37.56,23,7283,1342,3399,1298,5.6683,320442.05,391000,NEAR BAY
-121.42,38.6,35,1166,193,574,190,2.2452,87598,102800,INLAND
-122.3,38.29,48,2278,477,1219,453,2.9643,138027,154000,NEAR BAY
-121.21,37.8,45,370,84,167,70,1.4853,95606,101800,INLAND
-122.17,39.92,16,1566,306,652,287,1.9038,76728,60800,INLAND
-120.65,35.27,27,2034,341,768,316,4.2411,283777.01,258900,NEAR OCEAN
-117.94,34.07,25,1814,404,1187,363,3.3523,202613,170800,<1H OCEAN
-118.98,34.16,16,2476,402,1251,387,5.7676,339795.21,241300,<1H OCEAN
-121.02,37.62,14,5737,1286,4722,1210,1.6731,102586,95800,INLAND
-121.32,38.59,21,9774,1777,4674,1712,3.6817,131672,136100,INLAND
-119.28,34.45,36,2376,541,1505,547,2.4595,204041,197600,<1H OCEAN
-120.82,37.54,20,707,114,282,86,6.1324,200265.01,164800,INLAND
-118.37,33.84,35,1792,322,978,326,4.9583,323972.06,342800,<1H OCEAN
-118.21,34.04,37,845,249,881,252,2.2454,145156,165000,<1H OCEAN
-118.46,33.99,37,1828,460,1075,453,4.337,332438.04,360600,<1H OCEAN
-119.35,36.22,29,2051,351,915,343,3.1944,78971,106800,INLAND
-117.87,33.78,19,2813,567,1334,596,4.7208,222995,173500,<1H OCEAN
-122.14,38.07,31,3401,616,1750,602,4.6761,234232.01,143100,NEAR BAY
-122.67,38.45,24,2622,525,1027,510,2.9222,166646,242600,<1H OCEAN
-118.16,34.07,41,247,55,925,50,3.5769,155442,135700,<1H OCEAN
-118.14,33.94,31,2841,774,1612,708,2.9205,185773,196600,<1H OCEAN
-119.76,36.75,35,1607,383,1407,382,2.19,61040,53400,INLAND
-117.9,33.75,32,1893,431,2245,426,3.7143,169988,163000,<1H OCEAN
-117.81,33.77,31,4624,624,1852,635,7.2392,403281.29,334600,<1H OCEAN
-117.04,32.69,9,3417,860,2521,828,3.02,146401,158900,NEAR OCEAN
-122.24,37.48,47,2423,407,1010,407,6.2154,413940.15,362700,NEAR OCEAN
-117.94,33.66,16,2095,450,963,411,5.5,244117.01,224100,<1H OCEAN
-120.5,37.37,18,8606,1678,5303,1644,2.4012,90412,79700,INLAND
-117.75,33.61,16,2270,488,709,489,3.2845,253786.1,227600,<1H OCEAN
-122.44,37.76,52,2959,683,1145,666,4.2222,373536.06,361600,NEAR BAY
-118.15,34.2,46,1505,261,857,269,4.5,207435.92,184200,INLAND
-122.97,38.5,44,3234,746,1112,470,1.9265,199145.05,132700,<1H OCEAN
-117.03,33.18,17,5391,886,2732,830,5.1771,234701,212800,<1H OCEAN
-117.98,33.65,22,3592,527,1598,523,6.5501,303540.02,294900,<1H OCEAN
-121.61,39.13,33,2559,539,1583,504,1.4727,64817,53000,INLAND
-120.42,34.91,4,6986,1217,2801,1212,3.2135,226691.01,212700,<1H OCEAN
-117.31,34.1,52,1457,415,1238,341,2.0089,73315,68100,INLAND
-118.41,33.89,34,2959,639,1143,593,6.348,427805.47,500001,<1H OCEAN
-122.49,37.76,48,1351,270,650,265,3.5278,258874.03,339800,NEAR BAY
-118.07,34.06,34,2873,718,2758,699,2.5985,175309,168600,<1H OCEAN
-118.36,34.19,11,2921,685,1512,664,4.1445,246294,176400,<1H OCEAN
-122.31,38.33,21,1922,344,1051,342,3.6042,179992.01,183300,NEAR BAY
-118.19,33.93,42,1829,391,1614,377,3.1912,157949,146400,<1H OCEAN
-118.12,34.19,52,2405,299,970,319,8.7835,456799.7,444100,INLAND
-121.27,38.71,16,4082,666,1912,652,4.4609,177433,142900,INLAND
-118.84,34.15,17,3785,494,1527,507,8.4443,420565.19,358500,<1H OCEAN
-118.98,38.03,15,991,277,419,170,3.5469,129956,82500,INLAND
-117.06,32.79,21,3787,492,1246,457,9.6023,448833.29,391300,<1H OCEAN
-117.87,33.88,25,1808,440,1342,454,3.025,179166,156900,<1H OCEAN
-122.06,37.64,20,1655,450,857,430,3.5541,201850,350000,NEAR BAY
-118.94,35.37,23,1106,252,790,230,1.8523,59202,59700,INLAND
-117.78,33.9,14,6239,901,2923,904,6.5437,311908,268200,<1H OCEAN
-122.03,37.92,23,3318,408,1124,393,6.5847,325372.02,358800,NEAR BAY
-118.24,34.13,45,2170,401,1043,394,5.6921,307875.01,269000,<1H OCEAN
-117.4,34.15,4,12156,1864,5020,1524,4.7909,157434,149200,INLAND
-121.93,37.54,25,1354,192,596,220,6.629,321743,352400,<1H OCEAN
-120.91,38.98,13,7689,1415,3264,1198,3.653,140638,146800,INLAND
-116.19,33.67,16,1859,476,1994,477,1.7297,72699,67500,INLAND
-121.86,36.58,20,6332,991,2668,955,5.7578,281823.05,347700,<1H OCEAN
-122.45,37.73,52,2035,424,1193,430,5.0634,330224.01,264200,NEAR BAY
-117.67,33.57,18,1614,210,692,209,7.9294,368194.21,280300,<1H OCEAN
-118.4,34.17,24,4443,1283,2421,1180,2.2652,203548.01,269200,<1H OCEAN
-118.66,34.18,25,6612,857,2519,843,8.3912,456798.43,419000,<1H OCEAN
-117.65,34.11,29,2927,634,1710,623,3.6219,138691,176600,INLAND
-121.22,37.81,20,1811,352,1191,327,4.0125,149930,121500,INLAND
-117.92,33.61,37,1244,173,394,154,10.3682,488594.93,500001,<1H OCEAN
-118.28,33.99,46,1211,321,1153,282,1.7849,102434,99300,<1H OCEAN
-122.02,37.56,23,4332,857,2461,829,4.3594,220576,223400,NEAR BAY
-118.34,34.08,52,1430,186,547,178,10.3661,499000.99,500001,<1H OCEAN
-117.33,34.53,10,3781,712,2044,685,3.0943,114532,97100,INLAND
-120.44,34.66,22,3231,549,1739,581,4.5417,227325,142400,NEAR OCEAN
-121.3,38.89,23,1750,297,1012,315,3.4706,114673,99300,INLAND
-115.56,32.79,18,1178,438,1377,429,1.3373,64276,58300,INLAND
-121.97,37.26,19,2174,454,998,426,4.6827,280191,255100,<1H OCEAN
-120.66,35.2,13,5138,713,1838,645,5.9676,325931.12,380000,NEAR OCEAN
-118.18,34.02,36,1138,296,1484,320,2.2813,140960,150700,<1H OCEAN
-118.11,33.84,36,1463,257,722,260,4.8438,221224,226300,<1H OCEAN
-117.73,33.61,16,590,130,178,121,4.8611,246309.03,186800,<1H OCEAN
-122.25,37.77,52,2650,566,1468,567,3.0161,237579.03,215700,NEAR BAY
-121.46,38.54,36,1825,411,1226,391,1.5292,62332,55700,INLAND
-121.48,37.77,19,2364,373,1264,390,5.0176,182323,274200,INLAND
-118.25,33.99,41,1486,509,2312,541,1.3963,116081,92900,<1H OCEAN
-114.55,32.8,19,2570,820,1431,608,1.275,74192,56100,INLAND
-118.44,34.02,37,1592,308,783,321,6.2583,395605.24,386000,<1H OCEAN
-122.16,37.74,52,771,147,355,144,4.1458,189280.01,143400,NEAR BAY
-117.47,33.95,15,6248,1249,3795,1128,4.1264,141248,124600,INLAND
-116.99,32.79,33,2420,393,1003,397,4.0658,186484,165100,<1H OCEAN
-122.41,37.63,39,4220,1055,2720,1046,2.639,226307,242500,NEAR OCEAN
